name,year,km_driven
Royal Enfield Classic 350,2019,350
Honda Dio,2017,5650
Royal Enfield Classic Gunmetal Grey,2018,12000
Yamaha Fazer FI V 2.0 [2016-2018],2015,23000
Yamaha SZ [2013-2014],2011,21000
Honda CB Twister,2010,60000
Honda CB Hornet 160R,2018,17000
Royal Enfield Bullet 350 [2007-2011],2008,39000
Hero Honda CBZ extreme,2010,32000
Bajaj Discover 125,2016,42000
Yamaha FZ16,2015,32000
Honda Navi,2016,10000
Bajaj Avenger Street 220,2018,21178
Yamaha YZF R3,2019,1127
Jawa 42,2020,1700
Suzuki Access 125 [2007-2016],2012,55000
Hero Honda Glamour,2006,27000
Yamaha YZF R15 S,2010,45000
Royal Enfield Classic Gunmetal Grey,2018,23000
Yamaha FZ25,2018,39000
Hero Passion Pro 110,2008,60000
Honda Navi [2016-2017],2016,17450
Honda Activa i,2013,20696
Jawa Standard,2019,2000
Royal Enfield Thunderbird 350,2016,20000
Honda Dream Yuga,2012,35000
TVS Apache RTR 160 4V,2018,15210
Honda Navi [2016-2017],2017,24000
Yamaha Fazer [2009-2016],2013,35000
Hero Honda Splendor NXG,2009,10000
Hero Glamour 125,2017,2500
Yamaha FZ S [2012-2016],2013,75000
Hero Xtreme Sports,2016,50000
Honda X-Blade,2018,27000
Honda CB Shine SP,2019,10000
Honda Activa 5G,2018,6502
Hero Glamour 125,2018,21000
Honda CBR-250R,2016,16000
Hero Honda Passion PRO [2012],2011,42000
Royal Enfield Thunderbird 350,2015,13000
Bajaj Dominar 400,2017,12800
Hero Glamour FI,2018,20000
KTM 390 Duke,2017,4600
Hero Passion XPro,2012,81000
Yamaha FZ S V 2.0,2018,8000
Hero Achiever 150,2016,55000
Bajaj Discover 125,2011,57000
Yamaha FZ16,2009,26000
Yamaha Saluto,2018,13000
Yamaha FZ16,2012,29000
Bajaj Discover 100,2010,43000
Honda CB Trigger,2015,40000
Royal Enfield Electra 5 S,2010,40000
Hero Splendor PRO,2015,24000
Honda Activa 5G,2019,3000
Hero Honda Passion Plus,2006,75000
Bajaj Pulsar 150,2010,42000
Royal Enfield Bullet 350,2014,13000
Bajaj Discover 125,2013,55000
Bajaj Pulsar 150 [2001-2011],2011,23000
Hero Splendor PRO,2015,24000
Hero Xtreme Sports,2014,80000
Honda Activa 3G,2015,39000
Yamaha FZ16,2016,20000
Honda CB Hornet 160R,2016,30000
Royal Enfield Thunderbird 350,2013,21000
Hero Hunk,2014,41000
Suzuki Let''s,2014,8000
Royal Enfield Electra 4 S,2008,50000
TVS Scooty Pep Plus,2012,8150
Mahindra Mojo XT300,2017,1933
TVS Apache RTR 160,2013,55750
Bajaj Pulsar AS200,2015,15856
Bajaj Pulsar 150,2013,27000
Royal Enfield Thunderbird 350X,2019,3700
Suzuki Intruder 150,2018,21938
Hero Honda Karizma ZMR [2010],2010,48000
Honda Dio,2009,16000
Bajaj Xcd,2008,54000
Hero Splendor Plus,2014,35000
Royal Enfield Thunderbird 350X,2018,15000
Honda CB Unicorn 150,2014,32000
Honda Activa 5G,2019,3500
Honda CB Twister,2013,9000
Hero Splendor PRO,2015,38000
Hero Honda CD Deluxe,2009,50000
Honda Activa i [2016-2017],2015,20000
Royal Enfield Classic Gunmetal Grey,2018,22000
TVS Scooty Zest 110,2017,9432
Hero CD Deluxe,2014,70000
Suzuki Access 125 [2007-2016],2010,43000
Honda Activa [2000-2015],2012,500000
Honda Activa 125 [2016-2017],2016,30514
Suzuki GS150R,2010,130000
Bajaj Pulsar 220S,2015,45000
Honda Activa 4G,2018,25000
Yamaha FZ25,2019,2500
Bajaj Pulsar 150,2015,22770
Hero Splendor Plus,2015,30000
Bajaj Discover 100,2012,35000
Royal Enfield Thunderbird 350X,2019,6330
Royal Enfield Classic 350,2020,500
Bajaj Pulsar 150,2013,43400
Bajaj Pulsar NS160,2018,7004
Royal Enfield Classic Desert Storm,2017,16500
Suzuki Gixxer SF,2018,12500
TVS Apache RTR 200 4V,2018,9600
Bajaj V15,2016,35000
TVS XL 100 Heavy Duty,2019,11000
Yamaha FZ S V 2.0,2015,20000
Hero HF Deluxe,2018,13000
Aprilia SR 125,2019,3500
Yamaha FZ25,2017,9000
Hero Honda Glamour,2008,7500
Bajaj Discover 125 ST,2013,38000
Hero Honda Passion Plus,2004,120000
Honda Aviator,2018,6465
Vespa SXL 149,2018,18803
TVS Scooty Pep Plus,2010,20000
Hero Xtreme [2013-2014],2013,24000
Royal Enfield Thunderbird 350,2014,22000
UM Renegade Commando,2018,7000
Royal Enfield Classic Gunmetal Grey,2018,6100
Honda CB Hornet 160R,2017,14000
Honda Shine,2017,23000
Bajaj Discover 100,2012,85000
Hero Honda CBZ extreme,2010,40000
Royal Enfield Classic 350,2017,18000
Honda Activa 5G,2019,10000
Bajaj Avenger Street 150 [2018],2016,40000
Royal Enfield Continental GT 650,2019,1500
Honda Activa 3G,2015,30000
Honda Activa 3G,2015,3000
Bajaj Pulsar 180,2008,55000
Harley-Davidson Street Bob,2013,12000
Hero Honda CBZ extreme,2007,90000
Royal Enfield Classic Gunmetal Grey,2020,500
KTM 390 Duke ABS [2013-2016],2015,50000
Honda CB Hornet 160R,2016,25000
KTM 200 Duke,2013,36500
Hero Karizma 2014,2013,26000
Hero Glamour 125,2017,18000
Royal Enfield Classic 350,2013,49000
Royal Enfield Classic 500,2013,18000
Bajaj Dominar 400,2017,15000
Royal Enfield Thunderbird 350X,2018,8500
KTM RC 390,2017,3775
Royal Enfield Thunderbird 350,2015,14500
Hero Hunk,2010,35000
KTM 390 Duke,2017,14000
Suzuki Gixxer [2014-2018],2016,16000
Royal Enfield Bullet 350,2016,7000
Suzuki Access 125,2017,4000
TVS Apache RTR 200 4V,2017,45000
Hero Xtreme Sports,2014,99000
Honda Activa [2000-2015],2014,52000
Bajaj Discover 125,2013,45000
Bajaj Pulsar 150,2007,52000
Yamaha Saluto RX,2017,27000
Hero HF Deluxe,2018,60000
Suzuki Access 125,2015,2300
Royal Enfield Classic Desert Storm,2012,15000
Hero HF Deluxe,2016,50000
KTM RC 200,2017,27000
Honda CB Hornet 160R,2016,25000
Bajaj CT 100,2017,40000
Hero Honda Pleasure,2010,32000
Bajaj Pulsar 135 LS,2010,50000
Royal Enfield Classic 350,2017,36000
Honda Navi [2016-2017],2016,17450
Bajaj Discover 125,2011,32000
Yamaha SZ RR V 2.0,2015,38000
Bajaj Discover 150,2014,71000
Bajaj Pulsar 150,2019,8000
TVS Flame,2010,12000
Vespa VX 125,2013,50000
Yamaha SZ X,2012,30000
Honda CBF Stunner,2013,15888
Bajaj Discover 100 T,2013,26000
Royal Enfield Classic 350,2018,5600
Honda Activa [2000-2015],2014,41000
Royal Enfield Electra 5 S,2007,19612
Bajaj Pulsar 150,2012,17000
Honda Shine,2012,33700
Honda CB Unicorn 160,2015,100000
Honda Activa 3G,2016,6000
Honda Shine,2011,21000
Bajaj Pulsar 180,2007,80000
Suzuki Gixxer SF,2016,15000
Honda CB Unicorn 150,2007,46000
Yamaha YZF R15 [2011-2018],2013,11000
TVS Sport,2007,72000
Bajaj Pulsar AS200,2015,50000
Honda Activa [2000-2015],2010,50000
Yamaha FZ16,2011,67000
Bajaj Boxer,2000,30000
Hero Honda Hunk,2015,48000
Hero Honda Hunk,2015,48000
Bajaj Avenger Cruise 220,2018,8000
Yamaha Ray Z,2015,15500
Bajaj Pulsar 180,2012,45000
Bajaj Discover 150F,2014,60855
Bajaj Pulsar 135 LS,2017,37714
Bajaj Pulsar 180,2008,60000
Honda Activa 125 [2016-2017],2017,26000
Hero HF Deluxe,2019,6000
Hero Karizma 2014,2013,30000
Bajaj Platina 100,2018,17000
Royal Enfield Bullet 500,2015,34601
Bajaj Pulsar AS200,2015,48000
Yamaha FZ S [2012-2016],2013,60000
Bajaj Pulsar 220 Fi,2012,44000
Bajaj Pulsar 150,2006,55000
Bajaj Dominar 400 [2018],2018,16000
Hero Passion X Pro [2016-2017],2016,20000
Yamaha FZ S V 2.0,2015,17500
TVS Apache RTR 160,2017,46000
Bajaj Avenger [2015],2011,30000
Bajaj Pulsar 150,2019,6500
Hero Honda Glamour,2006,80000
Hero Splendor iSmart,2017,10000
Royal Enfield Classic 350,2017,2200
Yamaha FZ16,2008,40000
Hero Xtreme Sports,2016,21000
Royal Enfield Bullet 350 [2007-2011],2007,3500
Hero Honda Passion,2002,66191
Bajaj Discover 150S,2014,50000
TVS Scooty Zest 110,2015,32800
Bajaj Avenger Street 150 [2018],2016,32000
Yamaha Cygnus Ray ZR,2019,3900
Honda Activa [2000-2015],2014,10000
TVS Apache RTR 200 4V,2018,9600
Honda Shine,2010,46782
Honda CB Hornet 160R,2019,8000
Honda Activa i [2016-2017],2017,11000
Hero Karizma 2014,2014,51000
Bajaj Discover 100 T,2013,45000
Honda Aviator,2008,66000
Hero Splendor Plus,2010,50000
Royal Enfield Thunderbird 350,2017,23500
Bajaj CT 110,2015,25000
Hero Passion PRO i3s,2017,41000
KTM RC 390,2017,12000
Bajaj Pulsar 220F,2018,33000
Hero Maestro Edge,2017,15000
Bajaj Xcd,2008,50000
Bajaj Pulsar 150,2010,40000
TVS Centra,2005,50000
Honda Activa 3G,2015,20000
Yamaha FZ16,2009,50000
Hero Maestro Edge,2017,55000
Bajaj Discover 125,2016,70350
Royal Enfield Thunderbird 350X,2019,2700
Hero Super Splendor,2016,20000
TVS Scooty Pep Plus,2011,20000
Yamaha FZ V 2.0,2014,41311
Hero Honda Splendor Plus,2005,65000
Hero CD Deluxe,2014,34000
Hero Honda Passion PRO [2012],2011,20000
Hero HF Deluxe i3s,2019,11000
Bajaj Xcd,2007,75000
Royal Enfield Interceptor 650,2019,1200
Honda CBR-250R,2014,19000
Bajaj Kristal,2007,30000
Hero Honda Splendor Plus,2006,23000
Honda Dream Yuga,2014,10000
Yamaha FZ S V 2.0,2016,40000
Hero Xpulse 200,2019,8600
Bajaj V15,2016,45000
Bajaj Avenger Street 220,2016,7200
Bajaj Discover 135,2010,31195
Honda CB Unicorn 150,2017,18000
Vespa SXL 149,2019,1000
Royal Enfield Machismo,2008,17000
Honda CB Shine SP,2016,46000
Honda CB Unicorn 150,2014,77592
Honda CB Unicorn 150,2013,54000
Honda CB Unicorn 150,2013,17000
Bajaj Pulsar 150,2014,60000
TVS Apache RTR 160,2016,40000
Honda Dio,2014,25000
Royal Enfield Thunderbird 350,2018,19000
Hero Maestro,2015,40000
Hero Honda CBZ extreme,2010,51000
Bajaj Dominar 400,2019,7600
Honda Activa 125,2014,14965
Royal Enfield Classic Desert Storm,2015,25000
KTM 250 Duke,2019,6000
KTM RC 390,2019,2380
Kawasaki Ninja 650 [2018-2019],2017,13600
TVS Apache RTR 200 4V,2018,10000
Kawasaki Ninja 250R,2010,21000
TVS Wego,2018,10000
Honda CBR-250R,2014,18600
Bajaj Pulsar NS200,2018,7750
Suzuki GSX S750,2019,2800
Royal Enfield Thunderbird 350,2015,30000
Royal Enfield Classic 350,2015,9800
Honda CB Shine SP,2015,25000
Honda CB twister,2012,33000
Bajaj Discover 125,2013,35000
Honda CB Shine,2009,53000
Bajaj Pulsar 150,2008,92233
